epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2985.87,1.31658,1.25765,1.39022,0.5779,0.64626,0.65464,0.35715,1.59715,1.3703,1.5086,0.004258,0.004258,0.004258
60,3166.21,1.34111,1.27484,1.40448,0.63151,0.62401,0.66639,0.3554,1.60995,1.36654,1.51447,0.004159,0.004159,0.004159
61,3347.95,1.31369,1.26265,1.39188,0.58866,0.67489,0.68567,0.37636,1.55767,1.29578,1.46152,0.00406,0.00406,0.00406
62,3533.28,1.32424,1.26355,1.39931,0.61523,0.63802,0.6559,0.3589,1.58994,1.33816,1.50438,0.003961,0.003961,0.003961
63,3718.16,1.29374,1.24839,1.38597,0.61407,0.65604,0.66047,0.35682,1.55897,1.33159,1.46868,0.003862,0.003862,0.003862
64,4166.37,1.30314,1.24283,1.38097,0.63797,0.65462,0.67686,0.34815,1.64342,1.34825,1.5201,0.003763,0.003763,0.003763
65,18484.6,1.30511,1.23228,1.38797,0.63404,0.61244,0.65062,0.35515,1.59337,1.38626,1.51643,0.003664,0.003664,0.003664
66,21354.2,1.29607,1.20705,1.37664,0.60303,0.64954,0.68231,0.36193,1.6163,1.31719,1.49335,0.003565,0.003565,0.003565
67,21545.2,1.29548,1.22656,1.37516,0.58628,0.66242,0.67792,0.36986,1.54571,1.34461,1.46374,0.003466,0.003466,0.003466
68,21740.4,1.26955,1.21199,1.36003,0.61749,0.65575,0.68047,0.37088,1.56791,1.31521,1.48343,0.003367,0.003367,0.003367
69,21928.3,1.30803,1.22792,1.38117,0.59797,0.66868,0.68495,0.37239,1.57265,1.32774,1.47594,0.003268,0.003268,0.003268
70,22112.9,1.27778,1.19632,1.3615,0.64417,0.62353,0.6626,0.36213,1.61303,1.32217,1.51011,0.003169,0.003169,0.003169
71,22303.3,1.29199,1.19996,1.37162,0.66659,0.66813,0.71331,0.39165,1.5218,1.25931,1.45439,0.00307,0.00307,0.00307
72,22491.5,1.27451,1.18672,1.36298,0.67474,0.638,0.68758,0.37621,1.58353,1.27565,1.46532,0.002971,0.002971,0.002971
73,22679.9,1.26145,1.16927,1.35403,0.60259,0.6635,0.66548,0.36235,1.58692,1.32181,1.48556,0.002872,0.002872,0.002872
74,22879.2,1.28199,1.16577,1.36596,0.58895,0.68356,0.68285,0.37584,1.54236,1.2959,1.46785,0.002773,0.002773,0.002773
75,23068.3,1.25841,1.14405,1.34809,0.59262,0.6838,0.67532,0.36489,1.57431,1.28988,1.486,0.002674,0.002674,0.002674
